Address,Post Codes,Property Type,Model,Managed by,Local Authority,Region,Count,Tenancy Type,Status
"51 Longley Crescent, Sheffield, S5 7NZ",S5 7NZ,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"55 Halifax Road, Sheffield, S35 8PA",S35 8PA,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"55 Halifax Road, Sheffield, S35 8PA",S35 8PA,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"55 Halifax Road, Sheffield, S35 8PA",S35 8PA,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"9 Hill Top Rise, Grenoside, Sheffield, S35 8PD",S35 8PD,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"9 Hill Top Rise, Grenoside, Sheffield, S35 8PD",S35 8PD,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"9 Hill Top Rise, Grenoside, Sheffield, S35 8PD",S35 8PD,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"Apartment 38, The Dale, Sheffield, S8 0PW",S8 0PW,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 1, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 2, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 3, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 4, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 5, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Void
"Flat 6, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 8, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Apartment 11, Regent Court, Sheffield, S6 2BT",S6 2BT,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Apartment 165, Regent Court, Sheffield, S6 2BT",S6 2BT,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Flat 1, 2 Morlands Drive, Sheffield, S14 1SY",S14 1SY,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Flat 2, 2 Morlands Drive, Sheffield, S14 1SY",S14 1SY,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Flat 3, 2 Morlands Drive, Sheffield, S14 1SY",S14 1SY,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Flat 4, 2 Morlands Drive, Sheffield, S14 1SY",S14 1SY,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"8 Willow Drive, Leek, Staffordshire, ST13 7FF",ST13 7FF,House,Lease,Lets for Life,Staffordshire,Midlands,1,Single,Active
"9 Station Street, Longport, Stoke on Trent, ST6 4NB",ST6 4NB,Apartment,Lease,Lets for Life,Staffordshire,Midlands,0,,Upcoming
"2 Gloucester Road, Heald Green, Cheadle, Stockport, SK8 3NB",SK8 3NB,Flat,Lease,Lets for Life,Stockport,North West,1,Shared,Active
"2 Gloucester Road, Heald Green, Cheadle, Stockport, SK8 3NB",SK8 3NB,Flat,Lease,Lets for Life,Stockport,North West,1,Shared,Active
"25 Outwood Road, Heald Green, Cheadle, Stockport, SK8 3LZ",SK8 3LZ,Flat,Lease,Lets for Life,Stockport,North West,1,Single,Active
"5 Roseway, Stockport, SK7 3BQ",SK7 3BQ,Bungalow,Lease,Lets for Life,Stockport,North West,1,Single,Active
"13, Lodge Road, Stratford upon Avon, CV37 9DW",CV37 9DW,House,Lease,Lets for Life,Stratford upon Avon,West Midlands,1,Single,Active
"4 Falstaff Court, Stratford upon Avon CV37 6RB",CV37 6RB,Apartment,Lease,Lets for Life,Stratford upon Avon,West Midlands,1,Single,Active
"1 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"2 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"3 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"4 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Shared,Active
"4 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Shared,Active
"5 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Shared,Active
"5 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Shared,Active
"6 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"7 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"8 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"9 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"1 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"10 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Bungalow,Lease,Lets for Life,Torbay,South West,1,Single,Active
"2 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"3 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"4 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"5 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"6 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"7 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"8 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"9 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 2, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 4, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 5, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 7, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 8, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"Flat 3, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,0,Single,Void
"Flat 6, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,0,Single,Void
"Flat A, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,0,Single,Upcoming
"Flat B, Bronshill Court, Bronshill Road, Torquay, TQ1 3HD",TQ1 3HD,Flat,Lease,Lets for Life,Torbay,South West,0,Single,Upcoming
"Flat 2, 133 Marsland Road, Sale, M33 3NW",M33 3NW,Flat,Lease,Lets for Life,Trafford,North West,1,Single,Active
