Address,Postcode,Property Type,Model,Managed by,Local Authority,Region,Count,Tenancy Type,Status
"56 Moorland Avenue, Baildon, Shipley, BD17 6RW",BD17 6RW,House,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"56 Moorland Avenue, Baildon, Shipley, BD17 6RW",BD17 6RW,House,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"56 Moorland Avenue, Baildon, Shipley, BD17 6RW",BD17 6RW,House,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"71a Bradford Road, Keighley, BD21 4HA",BD21 4AW,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"71b Bradford Road, Keighley, BD21 4HA",BD21 4AW,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"71c Bradford Road, Keighley, BD21 4HA",BD21 4AW,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"9 Alexander House Bolton Road, Bradford West Yorkshire BD1 4DR",BD1 4DR,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"Flat 1, John Gaffney House, 228A Toller Lane, Bradford, BD9 5BU",BD9 5BU,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"Flat 9, John Gaffney House, 228A Toller Lane, Bradford, BD9 5BU",BD9 5BU,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"2 Sheredes Drive, Hoddesdon EN11 8LJ ",EN11 8LJ,House,Lease,Ling Trust,Broxbourne,South East,1,Shared,Active
"76 Station Road, Broxbourne, EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,1,Shared,Active
"76 Station Road, Broxbourne, EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,1,Shared,Active
"76 Station Road, Broxbourne, EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,0,Shared,Void
"2 Sheredes Drive, Hoddesdon EN11 8LJ ",EN11 8LJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"2 Sheredes Drive, Hoddesdon EN11 8LJ ",EN11 8LJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"2 Sheredes Drive, Hoddesdon EN11 8LJ ",EN11 8LJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"8 Faverolle Green, Cheshunt EN8 0UJ",EN8 0UJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"8 Faverolle Green, Cheshunt EN8 0UJ",EN8 0UJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"28 Platt Ave, Sandbach, CW11 1DE",CW11 1DE,House,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"36 Samuel Armstrong Way, Crewe, CW1 4SH",CW1 4SH,Bungalow,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"78 Coleridge Way, Crewe, Cheshire, CW1 5LE",CW1 5LE,Bungalow,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"8 Avon Drive, Crewe, CW1 5NJ",CW1 5NJ,Bungalow,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"9 Clevedon Close, Macclesfield, Cheshire, SK11 8LS",SK11 8LS,Bungalow,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 1, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 2, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 3, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 4, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 5, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"Flat 6, Bradshaw House, 21 Lawton Street, Congleton, CW12 1RU",CW12 1RU,Flat,Lease,Lets for Life,Cheshire East,North West,1,Single,Active
"2 Malvern Close, Crewe, CW2 5HH",CW2 5HH,Bungalow,Lease,Lets for Life,Cheshire East,North West,0,Single,Upcoming
"27 Westbourne Avenue, Crewe, CW1 3QP",CW1 3QP,Bungalow,Lease,Lets for Life,Cheshire East,North West,0,Single,Upcoming
"29 Micklewright Avenue, Crewe, Cheshire, CW1 4DF",CW1 4DF,House,Lease,Lets for Life,Cheshire East,North West,0,Single,Upcoming
"5 Valley Road, Macclesfield, SK11 8NX",SK11 8NX,Bungalow,Lease,Lets for Life,Cheshire East,North West,0,Shared,Upcoming
"15 Oakfield Road, Blacon, Chester, CH1 5AG",CH1 5AG,Bungalow,Lease,Superior Landlord,Cheshire West and Chester,North West,1,Single,Active
"175 Stanney Lane, Ellesmere Port, Cheshire, CH65 9AN",CH65 9AN,House,Lease,Superior Landlord,Cheshire West and Chester,North West,1,Single,Active
"2 Redwood Drive, Ellesmere Port, Cheshire, CH66 2YA",CH66 2YA,Bungalow,Lease,Superior Landlord,Cheshire West and Chester,North West,1,Single,Active
"222 High Street, Winsford,  CW7 2AU",CW7 2AU,Bungalow,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"23 Wellswood Road, Ellesmere Port, CH66 1JX",CH66 1JX,Bungalow,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"Flat 1, 12 Phillip Street, Hoole, Cheshire, CH2 3BY",CH2 3BY,Flat,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"Flat 2, 12 Phillip Street, Hoole, Cheshire, CH2 3BY",CH2 3BY,Flat,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"Flat A, 8 Gresford Avenue, Hoole, Chester, Cheshire, CH2 3QA",CH2 3QA,Flat,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"Flat B, 8 Gresford Avenue, Hoole, Chester, Cheshire, CH2 3QA",CH2 3QA,Flat,Lease,Lets for Life,Cheshire West and Chester,North West,1,Single,Active
"42 Spring Lane, 8 Ash Green, Forsham Heath, Colchester, CO3 9TH",CO3 9TH,Bungalow,Owned,Transforming Care,Colchester,South East,1,Single,Active
"1 Celandine Road, Coventry, CV2 1SX",CV2 1SX,House,Lease,Lets for Life,Coventry,West Midlands,1,Single,Active
"6 Parkfield Close, Coventry, CV2 4NH",CV2 4NH,House,Lease,Lets for Life,Coventry,West Midlands,1,Single,Active
"10 Western Rd, Nazeing, Waltham Abbey EN9 2QJ",EN9 2QJ,House,Lease,Ling Trust,Epping Forest,South East,,Shared,Upcoming
"10 Western Rd, Nazeing, Waltham Abbey EN9 2QJ",EN9 2QJ,House,Lease,Ling Trust,Epping Forest,South East,,Shared,Upcoming
"20 Grassington Road, Lytham St Annes, Lancashire, FY8 3QE",FY8 3QE,Bungalow,Lease,Ling Trust,Fylde,North West,1,Single,Active
"1 Starling Close, Runcorn, WA7 6EU",WA7 6EU,Bungalow,Lease,Lets for Life,Halton,North West,1,Single,Active
"23a Lessingham Road, Widnes, WA8 9FU",WA8 9FU,House,Lease,Lets for Life,Halton,North West,1,Shared,Void
"23a Lessingham Road, Widnes, WA8 9FU",WA8 9FU,House,Lease,Lets for Life,Halton,North West,1,Shared,Void
"8 Milton Close, Prescot, Knowsley, L35 2YQ",L35 2YQ,House,Lease,Superior Landlord,Knowsley,North West,1,Single,Active
"11 Heather Gardens, Leeds, LS13 4LF",LS13 4LF,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"14 Millbeck Approach, Morley, Leeds, LS27 8WA",LS27 8WA,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"15 Halliday Drive, Leeds, LS12 3PA",LS12 3PA,House,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"18 Oak Road, Garforth, Leeds LS25 1PF",LS25 1PF,House,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"2 Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"3 Durban Crescent, Leeds, LS11 8AD",LS11 8AD,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,0,Single,Void
"32 Park Spring Gardens, Leeds LS13 4DT",LS13 4DT,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"33 Marlowe Close, Pudsey, LS28 9NT",LS28 9NT,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"4 Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"45 Swarcliffe Avenue, Leeds, LS14 5LF",LS14 5LF,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"49 Kennerleigh Crescent, Leeds, LS15 8RS",LS15 8RS,House,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"6 Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"8 Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Void
"8 Haigh Side Close, Rothwell, Leeds, LS26 0UH",LS26 0UH,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"Gipsy Lane, Lingwell Rise, Leeds LS11 5TP",LS11 5TP,Bungalow,Lease,Lets for Life,Leeds,Yorkshire,1,Single,Active
"Flat 1, 157 Harrison Road, Leicester (Shared), LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Shared,Active
"Flat 1, 157 Harrison Road, Leicester (Shared), LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Shared,Active
"Flat 1, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,1,Single,Active
"Flat 2, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,0,Single,Void
"Flat 3, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 3, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,0,Single,Void
"Flat 4, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 4, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,1,Single,Active
"Flat 5, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 5, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,0,Single,Void
"Flat 6, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 6, 652 Saffron Lane, Leicester, LE2 6TD",LE2 6TD,Flat,Lease,Lets for Life,Leicester,East Midlands,0,Single,Void
"Flat 7, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 8, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"Flat 9, 157 Harrison Road, Leicester, LE4 6NP",LE4 6NP,Flat,Lease,Superior Landlord,Leicester,Midlands,1,Single,Active
"196 Arundel Road, Peacehaven, East Sussex, BN10 8HY",BN10 8HY,Bungalow,Owned,Transforming Care,Lewes,South East,1,Single,Active
"25 The Highway, Peacehaven. BN10 8XL",BN10 8XL,Bungalow,Owned,Transforming Care,Lewes,South East,1,Single,Active
"59 Avenue Clamart, Scunthorpe, DN15 8EQ",DN15 8EQ,Bungalow,Lease,Ling Trust,North Lincolnshire,Yorkshire,1,Single,Active
"14 Alexandra St, Burton Latimer, Kettering, NN15 5SE",NN15 5SE,Bungalow,Lease,Ling Trust,North Northamptonshire,East Midlands,1,Single,Active
"26 Orchard Road, Finedon NN9 5JG",NN9 5JG,Bungalow,Lease,Ling Trust,North Northamptonshire,East Midlands,1,Single,Active
33 Brockhill Close Kettering NN157DS,NN157DS,Bungalow,Lease,Ling Trust,North Northamptonshire,East Midlands,1,Single,Active
"146 Tavistock Road, Plymouth, PL6 5EJ",PL6 5EJ,Bungalow,Lease,Superior Landlord,Plymouth,South West,1,Single,Active
"2 Rockville Place, Plymouth, PL9 7DG",PL9 7DG,House,Lease,Lets for Life,Plymouth,South West,1,Shared,Active
"2 Rockville Place, Plymouth, PL9 7DG",PL9 7DG,House,Lease,Lets for Life,Plymouth,South West,0,Shared,Void
"2 Rockville Place, Plymouth, PL9 7DG",PL9 7DG,House,Lease,Lets for Life,Plymouth,South West,0,Shared,Void
"30 Duncombe Avenue, Plymouth, PL5 2JS",PL5 2JS,House,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"70 Old Woodlands Road, Crownhill, Plymouth, PL7 3SX",PL5 3SX,Bungalow,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 1, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 10, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 2, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 3, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 4, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 5, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 6, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Joint,Active
"Flat 8, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"Flat 9, 2a Rockville Park, Plymouth, PL9 7DG",PL9 7DG,Flat,Lease,Lets for Life,Plymouth,South West,1,Single,Active
"1a Foxhill Place, Sheffield, S6 1GE",S6 1GE,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"1a Foxhill Place, Sheffield, S6 1GE",S6 1GE,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"23 Sandby Drive, Sheffield, S14 1DF",S14 1DF,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"383 Foxhill Road, Sheffield, S6 1BG",S6 1BG,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"383 Foxhill Road, Sheffield, S6 1BG",S6 1BG,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"383 Foxhill Road, Sheffield, S6 1BG",S6 1BG,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"49 Broadlands Ave, Sheffield, S20 6RL",S20 6RL,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"49 Broadlands Ave, Sheffield, S20 6RL",S20 6RL,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"51 Dowland Avenue, High Green, Sheffield, S35 4DE",S35 4DE,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"51 Longley Crescent, Sheffield, S5 7NZ",S5 7NZ,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"55 Halifax Road, Sheffield, S35 8PA",S35 8PA,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"55 Halifax Road, Sheffield, S35 8PA",S35 8PA,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"55 Halifax Road, Sheffield, S35 8PA",S35 8PA,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"9 Hill Top Rise, Grenoside, Sheffield, S35 8PD",S35 8PD,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"9 Hill Top Rise, Grenoside, Sheffield, S35 8PD",S35 8PD,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"9 Hill Top Rise, Grenoside, Sheffield, S35 8PD",S35 8PD,Bungalow,Lease,Lets for Life,Sheffield,Yorkshire,1,Shared,Active
"Apartment 38, The Dale, Sheffield, S8 0PW",S8 0PW,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 1, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 2, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 3, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 4, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 5, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Void
"Flat 6, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Flat 8, 330 Newman Road, Sheffield, S9 1LX",S9 1LX,Flat,Lease,Lets for Life,Sheffield,Yorkshire,1,Single,Active
"Apartment 11, Regent Court, Sheffield, S6 2BT",S6 2BT,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Apartment 165, Regent Court, Sheffield, S6 2BT",S6 2BT,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Flat 1, 2 Morlands Drive, Sheffield, S14 1SY",S14 1SY,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Flat 2, 2 Morlands Drive, Sheffield, S14 1SY",S14 1SY,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Flat 3, 2 Morlands Drive, Sheffield, S14 1SY",S14 1SY,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"Flat 4, 2 Morlands Drive, Sheffield, S14 1SY",S14 1SY,Apartment,Lease,Lets for Life,Sheffield,Yorkshire,0,Single,Upcoming
"8 Willow Drive, Leek, Staffordshire, ST13 7FF",ST13 7FF,House,Lease,Lets for Life,Staffordshire,Midlands,1,Single,Active
"9 Station Street, Longport, Stoke on Trent, ST6 4NB",ST6 4NB,Apartment,Lease,Lets for Life,Staffordshire,Midlands,0,,Upcoming
"2 Gloucester Road, Heald Green, Cheadle, Stockport, SK8 3NB",SK8 3NB,Flat,Lease,Lets for Life,Stockport,North West,1,Shared,Active
"2 Gloucester Road, Heald Green, Cheadle, Stockport, SK8 3NB",SK8 3NB,Flat,Lease,Lets for Life,Stockport,North West,1,Shared,Active
"25 Outwood Road, Heald Green, Cheadle, Stockport, SK8 3LZ",SK8 3LZ,Flat,Lease,Lets for Life,Stockport,North West,1,Single,Active
"5 Omerod Close, Stockport, SK6 3ED",SK6 3ED,Bungalow,Lease,Superior Landlord,Stockport,North West,1,Single,Active
"5 Roseway, Stockport, SK7 3BQ",SK7 3BQ,Bungalow,Lease,Lets for Life,Stockport,North West,1,Single,Active
"1 Cranstock Close, Billingham, Stockton, TS22 5RS",TS22 5RS,Bungalow,Lease,Ling Trust,Stockton-on-Tees,Yorkshire,1,Shared,Active
"1 Cranstock Close, Billingham, Stockton, TS22 5RS",TS22 5RS,Bungalow,Lease,Ling Trust,Stockton-on-Tees,Yorkshire,1,Shared,Active
"1 Cranstock Close, Billingham, Stockton, TS22 5RS",TS22 5RS,Bungalow,Lease,Ling Trust,Stockton-on-Tees,Yorkshire,1,Shared,Active
"13, Lodge Road, Stratford upon Avon, CV37 9DW",CV37 9DW,House,Lease,Lets for Life,Stratford upon Avon,West Midlands,1,Single,Active
"4 Falstaff Court, Stratford upon Avon CV37 6RB",CV37 6RB,Apartment,Lease,Lets for Life,Stratford upon Avon,West Midlands,1,Single,Active
"1 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"2 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"3 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"4 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Shared,Active
"4 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Shared,Active
"5 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Shared,Active
"5 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Shared,Active
"6 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"7 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"8 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"9 The Old Vicarage, 43 Fore Street, Kingskerswell, Newton Abbot, TQ12 5FG",TQ12 5FG,Flat,Lease,Lets for Life,Teignbridge,South West,1,Single,Active
"1 Garden Cottages, Little Paddocks, The Street, Little Clacton, Clacton-On-Sea, CO16 9LG",CO16 9LG,Bungalow,Lease,Superior Landlord,Tendring,South East,1,Single,Active
"2 Garden Cottages, Little Paddocks, The Street, Little Clacton, Clacton-On-Sea, CO16 9LG",CO16 9LG,Bungalow,Lease,Superior Landlord,Tendring,South East,1,Single,Active
"3 Garden Cottages, Little Paddocks, The Street, Little Clacton, Clacton-On-Sea, CO16 9LG",CO16 9LG,Bungalow,Lease,Superior Landlord,Tendring,South East,1,Single,Active
"31 Orchard Drive, Great Holland, Frinton On Sea, Essex, CO13 0SB",CO13 0SB,Bungalow,Owned,Transforming Care,Tendring,South West,1,Single,Active
"1 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"10 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Bungalow,Lease,Lets for Life,Torbay,South West,1,Single,Active
"2 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"3 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"32 Reddenhill Road, Torquay, TQ1 3RQ",TQ1 3RQ,House,Lease,Superior Landlord,Torbay,South West,1,Shared,Active
"4 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"5 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"6 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"7 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"8 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
"9 Newton Place, 32 Newton Road, Torquay, TQ2 5DF",TQ2 5DF,Flat,Lease,Lets for Life,Torbay,South West,1,Single,Active
