Address,Post Codes,Property Type,Model,Managed by,Local Authority,Region,Count,Tenancy Type,Status
"56 Moorland Avenue, Baildon, Shipley, BD17 6RW",BD17 6RW,House,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"56 Moorland Avenue, Baildon, Shipley, BD17 6RW",BD17 6RW,House,Lease,Ling Trust,Bradford,Yorkshire,1,Shared,Active
"71a Bradford Road, Keighley, BD21 4HA",BD21 4AW,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"71b Bradford Road, Keighley, BD21 4HA",BD21 4AW,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"71c Bradford Road, Keighley, BD21 4HA",BD21 4AW,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"9 Alexander House Bolton Road, Bradford West Yorkshire BD1 4DR",BD1 4DR,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"Flat 1, John Gaffney House, 228A Toller Lane, Bradford, BD9 5BU",BD9 5BU,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"Flat 9, John Gaffney House, 228A Toller Lane, Bradford, BD9 5BU",BD9 5BU,Flat,Lease,Ling Trust,Bradford,Yorkshire,1,Single,Active
"2 Sheredes Drive, Hoddesdon EN11 8LJ ",EN11 8LJ,House,Lease,Ling Trust,Broxbourne,South East,1,Shared,Active
"76 Station Road, Broxbourne, EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,1,Shared,Active
"76 Station Road, Broxbourne, EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,1,Shared,Active
"76 Station Road, Broxbourne, EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,0,Shared,Void
"2 Sheredes Drive, Hoddesdon EN11 8LJ ",EN11 8LJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"2 Sheredes Drive, Hoddesdon EN11 8LJ ",EN11 8LJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"2 Sheredes Drive, Hoddesdon EN11 8LJ ",EN11 8LJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"8 Faverolle Green, Cheshunt EN8 0UJ",EN8 0UJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"8 Faverolle Green, Cheshunt EN8 0UJ",EN8 0UJ,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"10 Western Rd, Nazeing, Waltham Abbey EN9 2QJ",EN9 2QJ,House,Lease,Ling Trust,Epping Forest,South East,,Shared,Upcoming
"10 Western Rd, Nazeing, Waltham Abbey EN9 2QJ",EN9 2QJ,House,Lease,Ling Trust,Epping Forest,South East,,Shared,Upcoming
"20 Grassington Road, Lytham St Annes, Lancashire, FY8 3QE",FY8 3QE,Bungalow,Lease,Ling Trust,Fylde,North West,1,Single,Active
"59 Avenue Clamart, Scunthorpe, DN15 8EQ",DN15 8EQ,Bungalow,Lease,Ling Trust,North Lincolnshire,Yorkshire,1,Single,Active
"14 Alexandra St, Burton Latimer, Kettering, NN15 5SE",NN15 5SE,Bungalow,Lease,Ling Trust,North Northamptonshire,East Midlands,1,Single,Active
"26 Orchard Road, Finedon NN9 5JG",NN9 5JG,Bungalow,Lease,Ling Trust,North Northamptonshire,East Midlands,1,Single,Active
33 Brockhill Close Kettering NN157DS,NN157DS,Bungalow,Lease,Ling Trust,North Northamptonshire,East Midlands,1,Single,Active
"1 Cranstock Close, Billingham, Stockton, TS22 5RS",TS22 5RS,Bungalow,Lease,Ling Trust,Stockton-on-Tees,Yorkshire,1,Shared,Active
"1 Cranstock Close, Billingham, Stockton, TS22 5RS",TS22 5RS,Bungalow,Lease,Ling Trust,Stockton-on-Tees,Yorkshire,1,Shared,Active
"1 Cranstock Close, Billingham, Stockton, TS22 5RS",TS22 5RS,Bungalow,Lease,Ling Trust,Stockton-on-Tees,Yorkshire,1,Shared,Active
"Baytree Cottage, Station Road, Broxbourne EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Baytree Cottage, Station Road, Broxbourne EN10 7AN",EN10 7AN,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Orchard Lea, Hailey Lane, Hertford SG13 7NY",SG13 7NY,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Orchard Lea, Hailey Lane, Hertford SG13 7NY",SG13 7NY,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Orchard Lea, Hailey Lane, Hertford SG13 7NY",SG13 7NY,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Orchard Lea, Hailey Lane, Hertford SG13 7NY",SG13 7NY,House,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"4 Aylsham Road, Hoddesdon EN11 0JG",EN11 0JG,,Lease,Ling Trust,Broxbourne,South East,,Single,Upcoming
"4a Aylsham Road, Hoddesdon EN11 0JG",EN11 0JG,,Lease,Ling Trust,Broxbourne,South East,,Single,Upcoming
"Fairfield House, 70 High Road, Wormley EN10 6JN",EN10 6JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Fairfield House, 70 High Road, Wormley EN10 6JN",EN10 6JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"Fairfield House, 70 High Road, Wormley EN10 6JN",EN10 6JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"38 St Michaels Road, Broxbourne EN10 7JN",EN10 7JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"38 St Michaels Road, Broxbourne EN10 7JN",EN10 7JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
"38 St Michaels Road, Broxbourne EN10 7JN",EN10 7JN,,Lease,Ling Trust,Broxbourne,South East,,Shared,Upcoming
